Employer_ID,City_ID,Contract_ID,StartDate,EndDate,Renewal_Flag,Job_Slots,Total_Contract_Value,Applications,Apply_Start_Clicks,Click_Market_Value,Job_Listings
4277920,9767,2423796,30-10-2017,30-11-2017,1,15,995,215,255,15484.4,25
2372987,8585,2074128,29-06-2017,29-07-2017,0,50,1495,55,70,1719.3,50
1142693,6665,1924740,02-05-2017,02-06-2017,0,15,495,45,95,1195.75,20
1353893,5165,1942512,09-05-2017,06-06-2017,0,15,995,155,175,1197.35,20
922427,3882,1380984,19-09-2016,20-10-2016,1,15,745,150,185,8889.7,20
1411387,4163,2436360,01-11-2017,01-12-2017,0,15,995,0,60,2267.15,5
1262987,6535,2881524,20-03-2018,20-04-2018,0,15,1495,15,20,1087.25,5
1002933,1303,1453824,17-10-2016,17-11-2016,1,50,2995,0,540,19473.3,35
4092693,1941,1998744,01-06-2017,01-07-2017,1,15,1495,115,210,3763.55,20
1077040,7409,1964436,18-05-2017,18-06-2017,0,15,495,5,10,525.85,5
1062800,5927,1964688,18-05-2017,18-06-2017,0,15,995,0,140,1309.9,15
4843600,5390,2558580,13-12-2017,13-01-2018,1,50,2995,275,340,2773.85,55
959840,10026,2128128,19-07-2017,19-08-2017,0,15,745,30,60,557.65,10
918640,8893,1159116,08-06-2016,08-07-2016,1,15,1245,460,560,15018.85,20
1778267,10457,1108020,17-05-2016,05-06-2016,0,50,1745,590,1145,11012.6,55
1650347,2380,1179168,14-06-2016,14-07-2016,1,15,745,160,330,10420.6,15
1113360,11026,2027544,13-06-2017,13-07-2017,0,15,1495,200,230,5102.95,45
413173,2726,1739388,20-02-2017,20-03-2017,0,15,995,330,285,12782,25
1391493,377,1845024,30-03-2017,30-04-2017,1,15,745,70,235,1035.45,15
1524453,2560,1559496,02-12-2016,04-12-2016,0,15,1495,0,5,290.6,10
4291973,7965,2041632,18-06-2017,18-07-2017,1,15,745,65,100,1185.8,10
3122107,4858,2054688,22-06-2017,22-07-2017,1,15,495,30,55,1171.35,15
1487813,199,1912428,27-04-2017,27-05-2017,0,15,1245,155,185,2025.15,15
1034960,8294,1798596,14-03-2017,14-04-2017,1,15,1745,295,435,2094.7,15
1752693,9172,1109820,18-05-2016,18-06-2016,1,50,1245,265,350,8713.4,45
1699760,10567,1457112,18-10-2016,18-11-2016,1,15,495,0,0,513.3,15
1393013,3823,2192520,10-08-2017,10-09-2017,0,15,995,80,165,2697.35,10
1655280,2159,1528488,18-11-2016,18-12-2016,1,15,495,10,50,2928.85,20
1448907,9261,1494420,02-11-2016,02-12-2016,1,15,745,65,75,1882.65,5
5284133,3711,2304564,20-09-2017,22-09-2017,0,15,995,0,0,77.6,5
1233067,9297,1634868,05-01-2017,05-02-2017,1,15,1495,495,605,14211.25,25
914507,6270,1646772,11-01-2017,11-02-2017,1,15,1245,105,90,5008.3,10
880293,639,2323140,26-09-2017,26-10-2017,0,15,1245,0,185,5171.35,15
1884080,6998,1710168,08-02-2017,08-03-2017,1,15,495,160,230,4005.35,15
2345387,7274,2183520,07-08-2017,07-09-2017,0,15,995,0,65,3741.45,15
1366080,7648,1115268,20-05-2016,20-06-2016,0,50,995,45,175,3696.7,60
1051413,8487,1724880,14-02-2017,14-03-2017,1,50,1495,70,180,2912.1,20
1008187,8011,1460112,19-10-2016,19-11-2016,1,15,1495,375,465,29054.55,15
2980827,4906,1610400,23-12-2016,23-01-2017,1,15,495,100,100,4406.75,30
922907,8930,2511840,28-11-2017,28-12-2017,1,15,1495,195,320,6217.5,15
1351120,9035,1497216,04-11-2016,04-12-2016,1,15,1495,35,35,1809.5,20
826267,5928,1499076,04-11-2016,04-12-2016,0,15,745,210,210,3344.4,5
850960,9644,2193180,10-08-2017,10-09-2017,1,15,995,170,295,1152.95,10
957573,8971,1241064,13-07-2016,13-08-2016,1,15,1495,0,15,415.25,10
1097147,8228,2631612,04-01-2018,04-02-2018,1,15,1745,140,210,6452.05,15
918640,811,2746164,08-02-2018,08-03-2018,1,15,1495,65,95,4748.6,15
4820827,9770,2186172,08-08-2017,09-08-2017,0,15,995,0,0,31.75,15
1064373,5431,1647564,11-01-2017,11-02-2017,0,15,1745,0,310,7502.25,10
783680,1520,1648836,13-01-2017,13-02-2017,0,15,1495,385,485,16992.5,15
5027120,3551,2243388,29-08-2017,29-09-2017,0,15,995,60,80,3207.2,5
1049387,3806,2244432,29-08-2017,29-09-2017,1,15,1495,0,565,3596.4,5
1528027,6895,2244576,29-08-2017,29-09-2017,0,15,1495,410,770,8056.95,5
3220213,10800,1701120,04-02-2017,13-02-2017,0,15,745,65,105,2497.3,15
3220213,2968,1701120,04-02-2017,04-03-2017,0,15,745,250,310,6257,15
1107120,3389,1461192,19-10-2016,19-11-2016,0,15,1745,95,155,10445,10
1510133,3782,2205336,15-08-2017,15-09-2017,1,15,995,160,480,2897.9,20
677040,10712,2206152,15-08-2017,15-09-2017,0,15,1245,40,100,1542.05,25
1868960,8975,1243176,14-07-2016,11-08-2016,1,50,1745,0,720,8724.05,15
1351120,7539,1318860,19-08-2016,19-09-2016,0,15,745,45,100,2071.9,25
1974587,1259,2385552,17-10-2017,17-11-2017,1,15,995,0,205,2675.2,15
1261387,9672,2228244,23-08-2017,23-09-2017,1,15,1495,225,280,7122.15,10
1049387,6650,2889984,22-03-2018,22-04-2018,0,15,1495,0,90,540.35,5
1993093,2730,1294428,07-08-2016,07-09-2016,1,15,1495,155,195,4918.6,25
825173,2200,1742760,21-02-2017,21-03-2017,1,15,745,80,120,1622.7,20
2625573,7457,1590672,16-12-2016,16-01-2017,0,15,745,455,620,14696.4,15
899227,5316,2493840,21-11-2017,21-12-2017,1,15,1495,0,215,5531.4,5
3770667,2636,2189868,09-08-2017,09-09-2017,0,15,1745,105,155,5818.75,5
1078453,128,2239296,28-08-2017,01-09-2017,0,15,995,10,10,741.45,15
5271093,4991,2302716,19-09-2017,19-10-2017,1,15,995,5,15,446.9,5
1233067,8884,1179792,14-06-2016,14-07-2016,1,15,1495,700,955,4839.3,30
1107147,3865,1245936,15-07-2016,28-07-2016,1,50,760,0,185,4162.4,70
1051413,5175,1246632,15-07-2016,20-07-2016,0,50,1245,20,25,182.05,10
898107,8625,2404200,23-10-2017,23-11-2017,1,15,1245,15,30,1724.25,5
1750400,9248,1192056,20-06-2016,20-07-2016,1,15,495,0,165,3284.65,25
828800,3507,1566660,06-12-2016,06-01-2017,0,15,1245,70,70,3732.15,10
2937493,6544,1568580,07-12-2016,09-12-2016,0,50,1495,0,0,70.7,10
2937493,1705,1568580,07-12-2016,09-12-2016,0,50,1495,0,0,70.7,10
1214907,5172,2248848,31-08-2017,30-09-2017,1,15,1245,75,205,5184.35,15
1645867,7291,1185684,16-06-2016,16-07-2016,0,15,1245,195,400,5673.9,5
1504693,8051,1432284,06-10-2016,06-11-2016,1,15,1745,0,260,9888.6,10
1388933,1742,1286868,03-08-2016,03-09-2016,0,50,1495,5,25,4590.95,30
1049387,10255,1649988,12-01-2017,12-02-2017,1,50,2995,0,670,20771.3,35
1273573,9683,1287480,03-08-2016,03-09-2016,1,15,1245,40,95,1846.7,20
1566000,11232,1206132,27-06-2016,27-07-2016,1,15,1245,190,195,3752.85,30
1830800,8962,1125552,25-05-2016,26-05-2016,0,50,1745,0,0,18.4,10
2390000,885,1363728,10-09-2016,10-10-2016,0,50,1495,315,395,13864.2,20
